 Subj,#,Title,Comp Numb,Sec,Lec Lab,Camp Code,Max Enrollment,Current Enrollment,Start Time,End Time,Days,Bldg,Room,Instructor,Credits
"MATH","021","Calculus I","90759","G","LEC","M","40","32","13:00","14:15"," T      ","VOTEY","254","Julianelle, Anthony ","4"
"MATH","021","Calculus I","92677","H","LEC","M","32","27","14:30","15:45"," T      ","PERKIN","102","Dinitz, Jeffrey Howard","4"
"MATH","021","Calculus I","92678","I","LEC","M","31","24","15:00","15:50","M  W  F   ","VOTEY","205","Read, Helen Patricia","4"
"MATH","021","Calculus I","93148","J","LEC","M","40","28","13:55","14:45","M  W  F   ","VOTEY","254","Koehler, Vincent ","4"
"MATH","021","Calculus I","93149","K","LEC","M","30","27","16:05","16:55","M  W  F   ","VOTEY","205","Read, Helen Patricia","4"
"MATH","021","Calculus I","92007","Z1","LEC","C","22","17","17:10","19:00","M  W     ","VOTEY","205","Kudrle, Joseph M","4"
"MATH","021","Calculus I","94934","ZRI","LEC","C","1","1","15:00","15:50","M  W  F   ","VOTEY","205","Read, Helen Patricia","4"
"MATH","021","Calculus I","94935","ZRK","LEC","C","2","2","16:05","16:55","M  W  F   ","VOTEY","205","Read, Helen Patricia","4"
"MATH","022","Calculus II","92351","A","LEC","M","32","28","08:30","09:45"," T      ","VOTEY","367","Rogers, Thomas Eugene","4"
"MATH","022","Calculus II","90764","B","LEC","M","33","38","13:00","14:15"," T      ","LAFAYE","L200","Rosebush, Joan Marie","4"
"MATH","022","Calculus II","90765","C","LEC","M","32","29","14:30","15:45"," T      ","VOTEY","205","Kost, Larry Lyle","4"
"MATH","022","Calculus II","94894","D","LEC","M","29","31","13:00","14:15"," T      ","VOTEY","205","Cox, Mary Annette","4"
"MATH","022","Calculus II","92008","Z1","LEC","C","30","22","16:00","18:00"," T  R    ","VOTEY","205","Read, Helen Patricia","4"
"MATH","022","Calculus II","94936","ZRD","LEC","C","1","0","13:00","14:15"," T      ","VOTEY","205","Cox, Mary Annette","4"
"MATH","052","Fundamentals of Mathematics","90766","A","LEC","M","29","28","09:35","10:25","M  W  F   ","PERKIN","107","Voight, John ","3"
"MATH","052","Fundamentals of Mathematics","91937","B","LEC","M","30","27","12:50","13:40","M  W  F   ","TORREY","203","Burgmeier, James William","3"
"MATH","052","Fundamentals of Mathematics","94938","ZRA","LEC","C","1","1","09:35","10:25","M  W  F   ","PERKIN","107","Voight, John ","3"
"MATH","095","Companion to Math 21B","93589","B","LEC","M","40","42","08:30","09:45","   R    ","VOTEY","254","Rosebush, Joan Marie","1"
"MATH","095","Companion to Math 21D","93916","D","LEC","M","40","42","10:00","11:15","   R    ","VOTEY","254","Rosebush, Joan Marie","1"
