 Dept,#,Title,Comp Numb,Sec,Lec Lab,Camp Code,Max Enrollment,Current Enrollment,Start Time,End Time,Days,Bldg,Room,Instructor First,Instructor Last,Credits
PEAC,199,Jogging for Fitness,92278,E,ACT,M,25,10,08:15,09:05, T  R    ,PFG,TRACK,Patricia,McLaughlin,1
PEAC,199,Aikido,92279,F,ACT,M,20,11,12:00,13:00, T  R    ,OFFCMP,SEE NOTES,Benjamin,Pincus,1
PEAC,199,Tennis Doubles,92289,G,ACT,M,24,7,09:30,10:20, T  R    ,PFG,TENNIS,Elizabeth,Parsons-Reinhardt,1
PEAC,199,Basic Equitation-Bal Seat/Beg,93158,K,ACT,M,4,2,13:55,14:45,M       ,MRC,EQ CTR,Jennifer,Wilkinson,1
PEAC,199,Basic Equitation-Bal Seat/Beg,93159,L,ACT,M,4,3,13:55,14:45,  W     ,MRC,EQ CTR,Jennifer,Wilkinson,1
PEAC,199,Basic Equitation-Bal Seat/Nov,94166,M,ACT,M,4,4,15:00,15:50,M       ,MRC,EQ CTR,Jennifer,Wilkinson,1
PEAC,199,Basic Equitation-Bal Seat/Nov,94167,N,ACT,M,4,3,15:00,15:50,  W     ,MRC,EQ CTR,Jennifer,Wilkinson,1
PEAC,199,Vtrim for Undergrads,94396,OL1,LEC,C,20,20,19:00,20:00,M       ,ONLINE,SEE NOTES,Heather,Leonard,1
PEAC,199,Vtrim for Undergrads,94397,OL2,LEC,C,20,20,19:00,20:00, T      ,ONLINE,SEE NOTES,Susan,McFeeters,1
PEAC,199,Vtrim for Undergrads,94398,OL3,LEC,C,20,17,15:00,16:00,  W     ,ONLINE,SEE NOTES,Krista,Konrad,1
PEAC,199,Vtrim for Undergrads,94399,OL4,LEC,C,20,15,13:00,14:00, T      ,ONLINE,SEE NOTES,Mindy,Anhder,1
PHIL,001,Intro Phil: Selected Problems,91543,A,LEC,M,165,167,13:00,14:15, T  R    ,ANGELL,B106,Don,Loeb,3
PHIL,001,Intro Phil: Selected Problems,91544,B,LEC,M,40,40,10:00,11:15, T  R    ,ROWELL,110,Adam,Wager,3
PHIL,001,Intro Phil: Selected Problems,91545,C,LEC,M,35,32,11:30,12:45, T  R    ,ROWELL,110,Adam,Wager,3
PHIL,001,Intro Phil: Selected Problems,94055,Z1,LEC,C,5,5,13:00,14:15, T  R    ,ANGELL,B106,Don,Loeb,3
PHIL,003,D2:Intro Philosophy: East&West,91548,A,LEC,M,30,27,09:35,10:25,M  W  F   ,70S WL,109,Sin,Chan,3
PHIL,003,D2:Intro Philosophy: East&West,91549,B,LEC,M,30,26,10:40,11:30,M  W  F   ,70S WL,109,Sin,Chan,3
